name,photo
Rajendra Prasad,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Rajendra_Prasad_%28Indian_President%29%2C_signed_image_for_Walter_Nash_%28NZ_Prime_Minister%29%2C_1958_%2816017609534%29.jpg/500px-Rajendra_Prasad_%28Indian_President%29%2C_signed_image_for_Walter_Nash_%28NZ_Prime_Minister%29%2C_1958_%2816017609534%29.jpg
Rajiv Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg/500px-Rajiv_Gandhi%2C_the_6th_PM_of_India.jpg
Rajkumar,
Ravi Shankar Prasad,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/The_Union_Minister_for_Electronics_%26_Information_Technology_and_Law_%26_Justice%2C_Shri_Ravi_Shankar_Prasad_briefing_the_media_on_the_importance_of_the_Global_Conference_on_Cyber_Space_%28GCCS_2017%29%2C_in_New_Delhi.jpg/500px-thumbnail.jpg
V. S. Naipaul,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/VS_Naipaul_2016_Dhaka_%28cropped%29.jpg/500px-VS_Naipaul_2016_Dhaka_%28cropped%29.jpg
Kiran Bedi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Dr._Kiran_Bedi_in_2017_%28cropped%29.jpg/500px-Dr._Kiran_Bedi_in_2017_%28cropped%29.jpg
Udit Narayan,https://upload.wikimedia.org/wikipedia/commons/a/ae/Celebs_at_the_screening_of_the_A.R._Rahman%27s_documentary_03.jpg
K. R. Narayanan,https://upload.wikimedia.org/wikipedia/commons/3/33/President_Clinton_with_Indian_president_K._R._Narayanan_%28cropped%29.jpg
M. S. Swaminathan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Monkombu_Sambasivan_Swaminathan_-_Kolkata_2013-01-07_2674.JPG/500px-Monkombu_Sambasivan_Swaminathan_-_Kolkata_2013-01-07_2674.JPG
M. F. Husain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/MFHussain2.jpg/500px-MFHussain2.jpg
Srinivasa Ramanujan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Srinivasa_Ramanujan-Add._MS_a94_version2.jpg/500px-Srinivasa_Ramanujan-Add._MS_a94_version2.jpg
Sukumar Ray,https://upload.wikimedia.org/wikipedia/commons/a/a4/Sukumar_Ray.jpg
Indira Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/IndiraGandhi.png/500px-IndiraGandhi.png
Rajkumar,
K. Kamaraj,https://upload.wikimedia.org/wikipedia/commons/6/6a/K_Kamaraj_1976_stamp_of_India_%28cropped%29.jpg
Mahatma Gandhi,
Ram Manohar Lohia,https://upload.wikimedia.org/wikipedia/commons/5/59/Ram_Manohar_Lohia_1977_stamp_of_India.jpg
C. N. Annadurai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/CN_Annadurai.jpg/500px-CN_Annadurai.jpg
M. S. Golwalkar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/M_S_Golwalkar.jpg/500px-M_S_Golwalkar.jpg
Sivananda Saraswati,
Sarvepalli Radhakrishnan,
Shankaracharya,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Raja_Ravi_Varma_-_Sankaracharya.jpg/500px-Raja_Ravi_Varma_-_Sankaracharya.jpg
Suresh Raina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg/500px-Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg
Satguru,
Dhirubhai Ambani,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dhirubhai_Ambani_2002_stamp_of_India.jpg
K. R. Narayanan,https://upload.wikimedia.org/wikipedia/commons/3/33/President_Clinton_with_Indian_president_K._R._Narayanan_%28cropped%29.jpg
Vikram Sarabhai,https://upload.wikimedia.org/wikipedia/commons/6/63/Vikram_Sarabhai.jpg
Gopal Krishna Gokhale,https://upload.wikimedia.org/wikipedia/commons/a/a5/GKGokhale.jpg
Amitabh Bachchan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Indian_actor_Amitabh_Bachchan.jpg/500px-Indian_actor_Amitabh_Bachchan.jpg
